hyperlink,Link,Brand,Model,Min Micron (µm),Max Micron (µm),Grind Range (µm),Total Steps/Clicks,Step Type,Approx. µm per Step/Click,Grinder Characteristics & Coffee Brewing Notes,Verification Notes,notes formula
J,https://honestcoffeeguide.com/1zpresso-j-grind-settings/,1Zpresso,J,0,1080,1080,120,"Internal adjustment, stepped (rotation.number.tick)",9,"The J is the entry/all-round model of the JX family, using the same 48mm stainless-steel conical burr as the JX with an upgraded anti-static base, finer catch-cup threads and a foldable handle. It uses the classic internal-adjustment dial (30 clicks/rotation, ~25µm steps), which suits pour-over and filter brewing more than precise espresso dialing. The burr delivers a clean, balanced cup with subtle brightness; the coarse step size makes espresso fine-tuning difficult.",OK - range matches source,(target micron-E)/J
J-Max,https://honestcoffeeguide.com/1zpresso-j-max-grind-settings/,1Zpresso,J-Max,0,1190,1190,400,"External adjustment, stepped (rotation.number.tick)",2.975,"The J-Max is the dedicated espresso model of the J series, using a 48mm coated conical burr fixed to the central shaft for grinding stability. Its external super-fine adjustment of 8.8µm per click makes it one of the easiest hand grinders for dialing in espresso, and it ships with a magnetic catch cup. The broad rotation range also covers filter brewing; build is all-metal and premium.",OK - range matches source,
J-Max S,https://honestcoffeeguide.com/1zpresso-j-max-s-grind-settings/,1Zpresso,J-Max S,0,1190,1190,400,"External adjustment, stepped (rotation.number.tick)",2.975,"The J-Max S is functionally identical to the J-Max in grind mechanism — same 48mm coated conical espresso burr, 8.8µm external adjustment and magnetic catch cup — with an added foldable handle and improved ergonomic knob for portability and table stability. The very fine step size makes it excellent for espresso dial-in while remaining capable across filter methods. Grind quality is unchanged from the J-Max.",OK - range matches source,
J-Ultra,https://honestcoffeeguide.com/1zpresso-j-ultra-grind-settings/,1Zpresso,J-Ultra,0,1230,1230,500,"External adjustment with rotation indicator, stepped",2.46,"The J-Ultra is the flagship all-rounder/espresso grinder, using a newly designed 48mm espresso-focused coated stainless-steel conical burr fixed to the shaft. Its 8µm-per-click external adjustment plus a clear rotation indicator give the most precise, easiest dial-in of the series, suited to both espresso and pour-over. Lighter (~670g) than the J-Max and includes a magnetic catch cup; the burr produces a clean, sweet, low-fines grind.",OK - range matches source,
JE,https://honestcoffeeguide.com/1zpresso-je-grind-settings/,1Zpresso,JE,0,870,870,40,"Internal adjustment, stepped (original); JE-Plus external",21.75,"The JE is a dedicated espresso grinder using a 47mm coated conical espresso burr, prized for sweet, creamy, thick-bodied shots with prominent mouthfeel. The original JE (2018–2020) used a simpler internal dial with smaller capacity; the current JE-Plus adds a top adjustment dial (12.5µm/click), magnetic catch cup and blind-shaker-friendly design. Note: sources disagree on the original JE's micron-per-click (~25µm vs 12.5µm); confirm which variant this row represents.","Range OK. micron/step disputed: maker lists JE-Plus 12.5, plain JE unconfirmed - left unknown",
JX,https://honestcoffeeguide.com/1zpresso-jx-grind-settings/,1Zpresso,JX,0,1080,1080,120,"Internal adjustment, stepped (rotation.number.tick)",9,"The JX is the original all-round/pour-over grinder of the series, with a 48mm stainless-steel conical burr (shared with the JX-Pro) that yields a balanced, slightly bright cup. Its internal-adjustment dial with 30 clicks/rotation and ~25µm steps suits filter brewing (V60, AeroPress, French press) but is too coarse-stepped for precise espresso. Solidly built all-metal body; the J model is essentially its modernized successor.",OK - range matches source,
JX S,https://honestcoffeeguide.com/1zpresso-jx-s-grind-settings/,1Zpresso,JX S,0,1080,1080,120,"Internal adjustment, stepped (rotation.number.tick)",9,"The JX S shares the JX's grind mechanism exactly — same 48mm conical burr, internal adjustment, 30 clicks/rotation and ~25µm steps — adding a foldable handle for storage, better table stability and an improved knob for smaller hands. It remains a pour-over/all-round grinder; grind quality and brewing behavior are identical to the JX.",OK - range matches source,
JX-Pro,https://honestcoffeeguide.com/1zpresso-jx-pro-grind-settings/,1Zpresso,JX-Pro,0,915,915,200,"External/top adjustment, stepped (rotation.number.tick)",4.575,"The JX-Pro is the versatile espresso-and-filter grinder, using the same 48mm stainless-steel conical burr as the JX but with a top-mounted adjustment dial offering finer 12.5µm steps and the burr/shaft fixed together for consistency. The finer adjustment makes espresso dial-in genuinely workable while the wide range covers all filter methods, making it 1Zpresso's most recommended all-rounder. Uses a threaded catch cup (no magnet) and is well-built all-metal.",OK - range matches source,
JX-Pro S,https://honestcoffeeguide.com/1zpresso-jx-pro-s-grind-settings/,1Zpresso,JX-Pro S,0,915,915,200,"External/top adjustment, stepped (rotation.number.tick)",4.575,"The JX-Pro S is mechanically identical to the JX-Pro — same 48mm conical burr, top adjustment, 40 clicks/rotation and 12.5µm steps — with an added foldable handle, improved grip knob and the storage/stability benefits that brings. It remains a strong espresso-plus-filter all-rounder; grind quality and dial-in behavior match the JX-Pro exactly.",OK - range matches source,
K-Max,https://honestcoffeeguide.com/1zpresso-k-max-grind-settings/,1Zpresso,K-Max,0,1400,1400,90,"External adjustment, stepped (rotation.number.tick)",15.55555556,"A premium all-rounder built around a 48mm coated stainless-steel conical burr. The grind range runs from very fine to very coarse (~0–1400µm), covering espresso through French press and cold brew. The external numbered dial allows fast, repeatable adjustment, and the coated burr produces a clean, consistent particle distribution well suited to espresso dial-in. Heavier and aimed at serious home use rather than ultralight travel.",OK - range matches source,
