Brand Air (TDS)
Evian 7.2 pH – 345 ppm
Prima 7.9 pH – 67 ppm
Oasis 7.8 pH – 64 ppm
Aqua 7.7 pH – 112 ppm
Vit 7.9 pH – 120 ppm
Le Minerale 8.0 pH – 299 ppm
2tang 8.0 pH – 68 ppm
Oasis+ 8.6 pH – 72 ppm
Amidis 6-8 pH – 0 ppm
Nestle Pure Life 7.4 pH – 66 ppm
Ron 88 7.7 pH – 74 ppm
Perfect 9.5 pH – 29 ppm
Club 8.0 pH – 52 ppm
Ades 7.5 pH – 58 ppm
Frozen 7.5 pH – 87 ppm
Cleo 7.3 pH – 10 ppm
Total 8+ 8.1 pH – 102 ppm
Crystalline 7.5 pH – 95 ppm
Air Alfamart 7.4 pH – 1 ppm
Air Indomaret 6.9 pH – 31 ppm
Rivero 7.5 pH – 0 ppm
E+ 7.7 pH – 0 ppm
